USO2013,TU,month,temperature,rainfall,population,water_consumption
H1,DOMESTICO MEDIO,,27,16,35845,24.0
H2,DOMESTICO RESIDENCIAL,,21,7,31394,26.0
H1,DOMESTICO MEDIO,,23,11,15018,33.0
H3,DOMESTICO RESIDENCIAL,,20,26,30965,26.0
H3,DOMESTICO MEDIO,,24,34,14722,1.0
H1,DOMESTICO MEDIO,,27,31,28769,42.0
H2,DOMESTICO MEDIO,,31,63,48957,23.0
H3,SOCIAL,,27,55,44653,18.0
H3,DOMESTICO MEDIO,,27,22,47788,8.0
H3,DOMESTICO MEDIO,,31,54,26716,91.0
H2,DOMESTICO MEDIO,,31,53,38877,2.0
H3,DOMESTICO MEDIO,,32,40,18064,0.0
H2,DOMESTICO MEDIO,,28,64,27384,0.0
MX,COMERCIAL,,35,72,31821,2.0
H2,DOMESTICO MEDIO,,34,28,11942,5.0
H2,COMERCIAL,,20,8,17768,0.0
H3,DOMESTICO RESIDENCIAL,,36,66,16161,10.0
H2,DOMESTICO MEDIO,,27,31,12023,5.0
MX,DOMESTICO MEDIO,,32,36,36444,40.0
H2,SOCIAL,,33,4,33608,9.0
H3,DOMESTICO MEDIO,,30,77,45476,2.0
H2,DOMESTICO BAJA,,21,44,14971,11.0
H3,DOMESTICO MEDIO,,23,4,13412,9.0
H3,DOMESTICO MEDIO,,23,11,39833,15.0
MX,DOMESTICO MEDIO,,33,2,12688,12.0
AVD,COMERCIAL,,39,32,27649,3901.0
H3,DOMESTICO MEDIO,,38,94,41971,6.0
MX,DOMESTICO MEDIO,,25,62,26244,42.0
H3,DOMESTICO MEDIO,,37,25,33682,9.0
H2,DOMESTICO BAJA,,32,95,14144,20.0
H3,DOMESTICO MEDIO,,33,99,21860,4.0
H1,SOCIAL,,27,13,18750,20.0
H3,DOMESTICO RESIDENCIAL,,28,82,43492,0.0
H3,DOMESTICO MEDIO,,23,63,22668,20.0
MX,COMERCIAL,,22,93,12264,13.0
MX,DOMESTICO MEDIO,,30,77,46491,23.0
H3,DOMESTICO MEDIO,,22,70,29967,30.0
H2,DOMESTICO MEDIO,,24,98,35333,10.0
